---,Name,ShortDesc,LongDesc,Icon,ItemClass,BuildingClass,VisualObject,ActionBlueprint_Use,MaxStackSize,EquipLocation,GUICategory,ItemTags,ArmourValue,ArmorType,SoundPhysicalSurface,WeaponType,WeaponArcheType,CompatableAmmunitions,SoundTransmitterType,KnockbackResponseWeapon,WeaponStaminaAttackSingleBasic,WeaponStaminaAttackSingleSpecial,WeaponStaminaAttackDualBasic,WeaponStaminaAttackDualSpecial,WeaponStaminaHeavyChargedRegenModifier,WeaponSpeedHeavyChargedModifier,EncumbranceWeight,ConeAngle,ConeMaxDistance,DamageHealthLight_OnHit,DamageHealthHeavy_OnHit,DamageStaminaLight_OnHit,DamageStaminaHeavy_OnHit,DamageHealthLight_OnBlock,DamageHealthHeavy_OnBlock,DamageStaminaLight_OnBlock,DamageStaminaHeavy_OnBlock,HarvestDamage,WeaponUsage,MaxAttackReach,MinAttackReach,MinAttackDistance,WeaponEffectWidth,WeaponEffectHeight,ItemTier,ArmorPen,DamageConcussiveLightOnHit,DamageConcussiveHeavyOnHit,DamageConcussiveLightOnBlock,DamageConcussiveHeavyOnBlock,DamageTier,CoolDownTime,ReuseTime,SelectionWeight,KnockbackOffenseBasic,KnockbackOffenseSpecial,KnockbackOffenseBasicOnBlock,KnockbackOffenseSpecialOnBlock,KnockbackDefense,VisualStaticMesh,VisualSkeletalMesh,VisualDestructibleMesh,WeaponStatusDefault,WeaponStatusCurrent,WeaponStatusDecrement,PerishRate,PerishTo,MaxDurability,RepairItem1,RepairItem1_Amount,RepairItem1_Weight,RepairItem2,RepairItem2_Amount,RepairItem2_Weight,RepairItem3,RepairItem3_Amount,RepairItem3_Weight,AffectedByDamageTiers,BuildingPieceScore,BuildingMaxHealth,RepairXP,FirstModifier,SecondModifier,ThirdModifier,FourthModifier,FoodAmount,DrinkAmount,BurnTime,ItemFlags,ItemContainerSize,AvatarType,DyeColourID,WarPaintID,StaminaCostMultiplier,StaminaClimbingCostMultiplier,LeavesGhostItem,DLCPackage,SpawnTemplateID
4150,"NSLOCTEXT("""", ""ItemTable_4150_Name"", ""Sign (Alchemist)"")","NSLOCTEXT("""", ""ItemTable_4150_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4150_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_alchemy.icon_sign_alchemy,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_W_Sign1.BP_PL_W_Sign1_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
4151,"NSLOCTEXT("""", ""ItemTable_4151_Name"", ""Sign (Blacksmith)"")","NSLOCTEXT("""", ""ItemTable_4151_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4151_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_blacksmith.icon_sign_blacksmith,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_W_Sign3.BP_PL_W_Sign3_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
4152,"NSLOCTEXT("""", ""ItemTable_4152_Name"", ""Sign (Armorsmith)"")","NSLOCTEXT("""", ""ItemTable_4152_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4152_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_armorsmith.icon_sign_armorsmith,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_W_Sign2.BP_PL_W_Sign2_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
4153,"NSLOCTEXT("""", ""ItemTable_4153_Name"", ""Sign (Smeltery)"")","NSLOCTEXT("""", ""ItemTable_4153_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4153_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_forge.icon_sign_forge,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_W_Sign5.BP_PL_W_Sign5_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
4154,"NSLOCTEXT("""", ""ItemTable_4154_Name"", ""Sign (Tannery)"")","NSLOCTEXT("""", ""ItemTable_4154_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4154_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_tannery.icon_sign_tannery,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_W_Sign8.BP_PL_W_Sign8_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
4155,"NSLOCTEXT("""", ""ItemTable_4155_Name"", ""Sign (Prison)"")","NSLOCTEXT("""", ""ItemTable_4155_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4155_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_prison.icon_sign_prison,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_W_Sign7.BP_PL_W_Sign7_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
4156,"NSLOCTEXT("""", ""ItemTable_4156_Name"", ""Sign (Farm)"")","NSLOCTEXT("""", ""ItemTable_4156_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4156_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_planter.icon_sign_planter,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_W_Sign6.BP_PL_W_Sign6_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
4157,"NSLOCTEXT("""", ""ItemTable_4157_Name"", ""Sign (Cook)"")","NSLOCTEXT("""", ""ItemTable_4157_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4157_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_cooking.icon_sign_cooking,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_W_Sign4.BP_PL_W_Sign4_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
4158,"NSLOCTEXT("""", ""ItemTable_4158_Name"", ""Sign (Tavern)"")","NSLOCTEXT("""", ""ItemTable_4158_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4158_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_tavern.icon_sign_tavern,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_W_Sign9.BP_PL_W_Sign9_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
4159,"NSLOCTEXT("""", ""ItemTable_4159_Name"", ""Standing Sign (Alchemist)"")","NSLOCTEXT("""", ""ItemTable_4159_ShortDesc"", ""A sign made out of wood"")","NSLOCTEXT("""", ""ItemTable_4159_LongDesc"", ""In the Western kingdoms of Aquilonia and Nemedia, the practise of using wooden signs to provide warning and information for travellers and merchants has been established for centuries."")",/Game/UI/Textures/Icons/icon_sign_standing_alchemy.icon_sign_standing_alchemy,/Script/ConanSandbox.BuildingItem,/Game/Systems/Building/Placeables/BP_PL_Sign1.BP_PL_Sign1_C,/Game/Items/GatheringResources/Rock1.Rock1_C,None,1000,0,BuildingItem,,0.000000,0,0,None,None,,0,False,0,0,0,0,0.000000,0.000000,1.500000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,3,0.000000,0,0,0,0,Default,0.000000,0.000000,0,0,0,0,0,0,None,None,None,0,0,0,0.000000,0,0.000000,11108,8,1,0,0,0,0,0,0,30,1,5000,112.000000,,,,,0,0,0.000000,65,0,None,-1,-1,1.000000,1.000000,True,None,None
